Tag,departure_start,departure_stop,return_start,return_stop,comment,use in analysis,sex,cave_group
PH_TS_004_2022-03-08 ,2022-03-08 00:12:00,2022-03-08 00:05:00,2022-03-08 06:45:00,2022-03-08 07:21:00,return,no,f,ajcave
PH_TS_011_2022-03-07,2022-03-07 02:13:00,2022-03-07 03:03:00,2022-03-07 09:59:00,2022-03-07 10:34:00,departure,yes,m,ajcave
PH_TS_011_2022-03-08,2022-03-08 01:49:00,2022-03-08 02:26:00,2022-03-08 07:46:00,2022-03-08 08:18:00,both,yes,m,ajcave
PH_TS_011_2022-03-09,2022-03-09 01:31:00,2022-03-09 02:13:00,2022-03-09 07:45:00,2022-03-09 08:22:00,return,yes,m,ajcave
PH_TS_011_2022-03-10,2022-03-10 01:33:00,2022-03-10 02:24:00,2022-03-10 07:58:00,2022-03-10 08:37:00,incomplete,yes,m,ajcave
PH_TS_011_2022-03-11,2022-03-11 01:41:00,2022-03-11 02:42:00,2022-03-11 08:59:00,2022-03-11 09:51:00,departure,yes,m,ajcave
PH_TS_011_2022-03-12,2022-03-12 01:56:00,2022-03-12 02:49:00,2022-03-12 08:20:00,2022-03-12 09:03:00,both,yes,m,ajcave
PH_TS_011_2022-03-13,2022-03-13 05:19:00,2022-03-13 05:46:00,2022-03-13 10:04:00,2022-03-13 10:44:00,incomplete,yes,m,ajcave
PH_TS_011_2022-03-14,2022-03-14 03:14:00,2022-03-14 04:00:00,2022-03-14 09:14:00,2022-03-14 09:50:00,incomplete,yes,m,ajcave
PH_TS_011_2022-03-15,2022-03-15 02:41:00,2022-03-15 03:27:00,2022-03-15 08:22:00,2022-03-15 08:58:00,both,yes,m,ajcave
PH_TS_011_2022-03-16,2022-03-16 02:05:00,2022-03-16 02:50:00,2022-03-16 08:46:00,2022-03-16 09:17:00,incomplete,yes,m,ajcave
PH_TS_011_2022-03-17,2022-03-17 00:36:00,2022-03-17 01:20:00,2022-03-17 06:53:00,2022-03-17 07:26:00,both,yes,m,ajcave
